id,year_birth,education,marital_status,income,kidhome,teenhome,dt_customer,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,z_costcontact,z_revenue,response
5524,1957,graduation,single,58138.0,0,0,2012-09-04,58,635,81,546,120.5,81,88.0,3,8,10,4,7,0,0,0,0,0,0,3,11,1
2174,1954,graduation,single,46344.0,1,1,2014-03-08,38,11,1,6,2.0,1,6.0,2,1,1,2,5,0,0,0,0,0,0,3,11,0
4141,1965,graduation,together,71613.0,0,0,2013-08-21,26,426,49,127,111.0,21,42.0,1,8,2,10,4,0,0,0,0,0,0,3,11,0
6182,1984,graduation,together,26646.0,1,0,2014-02-10,26,11,4,20,10.0,3,5.0,2,2,0,4,6,0,0,0,0,0,0,3,11,0
5324,1981,phd,married,58293.0,1,0,2014-01-19,94,173,43,118,46.0,27,15.0,5,5,3,6,5,0,0,0,0,0,0,3,11,0
7446,1967,master,together,62513.0,0,1,2013-09-09,16,520,42,98,0.0,42,14.0,2,6,4,10,6,0,0,0,0,0,0,3,11,0
965,1971,graduation,divorced,55635.0,0,1,2012-11-13,34,235,65,164,50.0,49,27.0,4,7,3,7,6,0,0,0,0,0,0,3,11,0
6177,1985,phd,married,33454.0,1,0,2013-05-08,32,76,10,56,3.0,1,23.0,2,4,0,4,8,0,0,0,0,0,0,3,11,0
4855,1974,phd,together,30351.0,1,0,2013-06-06,19,14,0,24,3.0,3,2.0,1,3,0,2,9,0,0,0,0,0,0,3,11,1
5899,1950,phd,together,5648.0,1,1,2014-03-13,68,28,0,6,1.0,1,13.0,1,1,0,0,20,1,0,0,0,0,0,3,11,0
1994,1983,graduation,married,51381.5,1,0,2013-11-15,11,5,5,6,0.0,2,1.0,1,1,0,2,7,0,0,0,0,0,0,3,11,0
387,1976,basic,married,7500.0,0,0,2012-11-13,59,6,16,11,11.0,1,16.0,1,2,0,3,8,0,0,0,0,0,0,3,11,0
2125,1959,graduation,divorced,63033.0,0,0,2013-11-15,82,194,61,480,120.5,81,30.0,1,3,4,8,2,0,0,0,0,0,0,3,11,0
8180,1952,master,divorced,59354.0,1,1,2013-11-15,53,233,2,53,3.0,5,14.0,3,6,1,5,6,0,0,0,0,0,0,3,11,0
2569,1987,graduation,married,17323.0,0,0,2012-10-10,38,3,14,17,6.0,1,5.0,1,1,0,3,8,0,0,0,0,0,0,3,11,0
2114,1946,phd,single,82800.0,0,0,2012-11-24,23,1006,22,115,59.0,68,45.0,1,7,6,12,3,0,0,1,1,0,0,3,11,1
